tweet_id,favorite_count,retweet_count
819588359383371776,9556,1967
814638523311648768,11177,2659
819238181065359361,2241,401
822163064745328640,0,4664
822975315408461824,17126,3378
818145370475810820,12148,2521
817827839487737858,51105,26664
821107785811234820,9491,2095
819347104292290561,7145,1181
823939628516474880,10494,2654
817171292965273600,8687,1991
821886076407029760,11186,2264
816336735214911488,8528,1920
817181837579653120,0,8342
813172488309972993,9200,1902
818536468981415936,10762,2410
814986499976527872,7588,1259
816091915477250048,8857,2103
820314633777061888,3309,554
820494788566847489,0,554
815990720817401858,4900,1001
818307523543449600,0,7935
821407182352777218,11616,4252
823699002998870016,13795,2469
813910438903693312,9243,1840
824775126675836928,14712,3436
818614493328580609,9743,2507
816816676327063552,9918,2013
816062466425819140,0,1001
823322678127919110,15547,3938
817536400337801217,11658,2912
815736392542261248,9760,2235
820749716845686786,31204,9710
823269594223824897,0,9689
819006400881917954,44880,18736
817777686764523521,10653,2644
822859134160621569,13091,2227
813800681631023104,8261,1735
815745968457060357,0,4072
813127251579564032,11739,3091
820690176645140481,12093,3180
822610361945911296,14630,2899
824297048279236611,14863,3783
820446719150292993,0,2531
813812741911748608,36179,13803
824325613288833024,11670,10377
822647212903690241,0,6284
805932879469572096,8250,1907
803380650405482500,7730,1860
807106840509214720,117467,54847
799063482566066176,8041,2457
801115127852503040,8034,2086
812709060537683968,6582,1426
811627233043480576,12679,3045
800751577355128832,10537,2771
805487436403003392,8753,2501
804475857670639616,6108,1995
802265048156610565,6896,1366
811744202451197953,7496,1570
809084759137812480,13151,3501
813096984823349248,10508,3598
813081950185472002,9845,2762
799774291445383169,0,4640
805207613751304193,7814,1701
805520635690676224,5726,1643
798701998996647937,0,7714
802185808107208704,0,270
807059379405148160,0,7264
806542213899489280,10170,2340
809448704142938112,6906,1453
800855607700029440,0,1597
808838249661788160,10065,3006
805958939288408065,0,5313
804413760345620481,0,3203
807010152071229440,13028,3834
811985624773361665,7240,1385
809808892968534016,0,4846
798933969379225600,13012,4410
806629075125202948,74166,34273
800513324630806528,13073,2968
802952499103731712,8975,1978
801167903437357056,24344,5857
807621403335917568,14500,3576
803773340896923648,10003,2718
802323869084381190,16093,5783
812372279581671427,13575,3626
806620845233815552,0,5472
804026241225523202,44196,15953
810896069567610880,8951,1748
812466873996607488,7926,1915
812781120811126785,7505,1887
806242860592926720,0,11530
799757965289017345,8349,2148
808001312164028416,12466,3507
798705661114773508,0,6593
805823200554876929,0,7941
801854953262350336,1786,235
808344865868283904,42292,20648
800859414831898624,685,97
800459316964663297,9469,2161
801285448605831168,6023,811
802624713319034886,0,2888
800388270626521089,11118,2782
798682547630837760,0,4705
798925684722855936,7484,1431
808134635716833280,0,5857
811647686436880384,5574,730
800188575492947969,0,3905
811386762094317568,20788,6316
803276597545603072,9982,2434
798694562394996736,0,4911
810984652412424192,5298,1422
812503143955202048,6020,1204
804738756058218496,13638,3792
809920764300447744,15477,3899
801127390143516673,0,3920
808106460588765185,8763,2195
802239329049477120,9046,2601
801538201127157760,8195,2046
803692223237865472,0,7368
800443802682937345,0,4290
813051746834595840,20833,7294
802572683846291456,8903,2481
798686750113755136,0,2316
800141422401830912,15214,2531
802600418706604034,7068,1450
806219024703037440,6415,1182
808733504066486276,7860,2144
810284430598270976,34977,11116
810254108431155201,14598,3341
809220051211603969,19799,5534
801958328846974976,7723,1711
813066809284972545,7889,1931
798697898615730177,0,6474
805826884734976000,6530,1801
799308762079035393,0,5414
813112105746448384,10240,2709
800018252395122689,28213,13039
806576416489959424,4873,1943
803638050916102144,10889,4114
808501579447930884,11245,2582
803321560782307329,0,5274
799422933579902976,8040,1914
810657578271330305,10904,2614
799297110730567681,9828,2727
794926597468000259,10179,2297
794983741416415232,0,3345
789280767834746880,0,4875
798209839306514432,10372,2535
796759840936919040,11761,3004
788070120937619456,0,3402
797545162159308800,14495,4835
787322443945877504,7738,1724
792050063153438720,7110,1776
788765914992902144,27145,10182
798665375516884993,0,3877
787717603741622272,10209,2750
791312159183634433,8719,2508
788039637453406209,6087,1293
798585098161549313,0,5639
793210959003287553,8886,2772
786729988674449408,0,2397
792773781206999040,7323,1656
798340744599797760,0,3297
796387464403357696,10950,4098
791784077045166082,0,9484
793195938047070209,15175,5575
796484825502875648,7544,1739
796116448414461957,9056,2396
789903600034189313,10284,4094
791821351946420224,0,20918
792883833364439040,11247,4237
789599242079838210,6706,1901
793845145112371200,9174,1838
796904159865868288,0,8855
796031486298386433,10747,3689
795076730285391872,16113,5389
798673117451325440,0,5516
790723298204217344,0,2285
786363235746385920,10821,3451
791780927877898241,0,3787
787111942498508800,0,6676
793120401413079041,12586,3888
787397959788929025,10824,2822
794355576146903043,0,10182
798644042770751489,0,1838
791406955684368384,13094,4072
789986466051088384,9205,2285
794205286408003585,9201,3291
787810552592695296,8560,3013
793614319594401792,0,3102
791774931465953280,44863,21992
790946055508652032,16583,4652
789314372632018944,8602,2268
789960241177853952,0,4070
788150585577050112,6084,1259
791026214425268224,0,4056
786595970293370880,9400,3098
789628658055020548,7444,1743
792394556390137856,13348,4263
789268448748703744,9065,2578
796177847564038144,0,14153
790698755171364864,8172,1905
794332329137291264,9554,2659
786963064373534720,26485,7886
791672322847637504,11697,3102
793180763617361921,6901,1980
789530877013393408,11663,3345
795400264262053889,9997,2841
788908386943430656,27291,12376
793226087023144960,9776,2855
788412144018661376,15454,5213
790337589677002753,7782,1864
797165961484890113,222,26
793256262322548741,19899,8273
792913359805018113,14232,3936
790581949425475584,20561,7063
793135492858580992,6373,2477
790987426131050500,9776,2112
793241302385262592,10466,3265
788178268662984705,7186,2073
796865951799083009,7639,1901
796149749086875649,32083,14153
786664955043049472,10530,2512
793165685325201412,9337,2756
797236660651966464,19842,6504
790227638568808452,0,3533
797971864723324932,11529,3086
796080075804475393,8414,2286
